,Zipcode,City,Area ID,Area Name,Crime Code,Crime Code Description,Date Occurred,Date Reported,DR #,Latitude,Longitude,Location,MO Code,Premise Code,Reporting District,Time Occurred,mo_descriptions
45,90017,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-02-19,2010-02-20,100100635,34.0480,-118.2577,700 S  HOPE                         ST,0400,101,0162,2030,{'0400': 'Force used'}
46,90014,los angeles,01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2010-02-20,2010-02-20,100100638,34.0439,-118.2514,100 W  7TH                          ST,0329,101,0164,0100,{'0329': 'Vandalized'}
47,90014,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-02-20,2010-02-20,100100639,34.0453,-118.2499,600 S  MAIN                         ST,2000,502,0164,0230,{'2000': 'Domestic violence'}
48,90014,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-02-21,2010-02-21,100100642,34.0431,-118.2536,800 S  SPRING                       ST,0400 0408,501,0174,0500,"{'0400': 'Force used', '0408': 'Choked/uses choke hold/Strangulation/Suffocation'}"
49,90012,los angeles,01,Central,310,BURGLARY,2010-02-25,2010-02-25,100100650,34.0617,-118.2469,500 N  FIGUEROA                     ST,0344 1251,502,0111,0030,"{'0344': 'Removes vict property', '1251': 'Victim was a student'}"
50,90014,los angeles,01,Central,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2010-02-25,2010-02-26,100100651,34.0394,-118.2496,600 E  8TH                          ST,0416 0429,108,0176,2330,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}"
51,90014,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-02-27,2010-02-27,100100654,34.0445,-118.2523,W  7TH                          ST,,101,0174,1955,{'nan': 'Unknown code'}
52,90079,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-02-28,2010-02-28,100100655,34.0524,-118.2467,300 W  2ND                          ST,0416,102,0133,0015,{'0416': 'Hit-Hit w/ weapon'}
53,90015,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-02-28,2010-03-01,100100657,34.0389,-118.2643,1300 S  GRAND                        AV,0400 2000,502,0192,2200,"{'0400': 'Force used', '2000': 'Domestic violence'}"
54,90017,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-03-01,2010-03-01,100100658,34.0459,-118.2579,800 S  GRAND                        AV,0329,203,0162,0305,{'0329': 'Vandalized'}
55,90015,los angeles,01,Central,210,ROBBERY,2010-08-01,2010-08-01,100114820,34.0384,-118.2646,GRAND,0344 0355 0400,101,0192,0250,"{'0344': 'Removes vict property', '0355': 'Demanded property other than money', '0400': 'Force used'}"
56,90013,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-02-28,2010-02-28,100100659,34.0485,-118.2447,300 S  LOS ANGELES                  ST,0200 0400,725,0138,1825,"{'0200': 'Suspect wore disguise', '0400': 'Force used'}"
57,90013,los angeles,01,Central,648,ARSON,2010-03-01,2010-03-01,100100660,34.0435,-118.2427,5TH,1501,101,0148,0100,{'1501': 'Other MO (see rpt)'}
58,90071,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-03-01,2010-03-01,100100661,34.0503,-118.2504,400 S  HILL                         ST,0329,203,0143,0410,{'0329': 'Vandalized'}
59,90071,los angeles,01,Central,121,"RAPE, FORCIBLE",2010-03-06,2010-03-06,100100672,34.0535,-118.2560,400 S  FIGUEROA                     ST,0413 0500 0536 0526,503,0142,0420,"{'0413': 'Drugged', '0500': 'Sex related acts', '0536': 'Suspect removes own clothing', '0526': 'Utilized Condom'}"
60,90012,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-03-06,2010-03-07,100100676,34.0695,-118.2324,1300 N  BROADWAY,0329,502,0105,1930,{'0329': 'Vandalized'}
61,90015,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-03-11,2010-03-11,100100690,34.0416,-118.2620,1100 S  GRAND                        AV,0329,122,0182,2300,{'0329': 'Vandalized'}
62,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-11,2010-03-11,100100691,34.0446,-118.2490,600 S  LOS ANGELES                  ST,0416 1402,102,0165,2110,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}"
63,90079,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-11,2010-03-12,100100693,34.0530,-118.2444,1ST,0416 0417,802,0123,0815,"{'0416': 'Hit-Hit w/ weapon', '0417': 'Kicked'}"
64,90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-03-12,2010-03-12,100100694,34.0435,-118.2471,600    WALL                         ST,0416 0411 0417 1402,101,0166,0930,"{'0416': 'Hit-Hit w/ weapon', '0411': 'Cut/stabbed', '0417': 'Kicked', '1402': 'Evidence Booked (any crime)'}"
65,90017,los angeles,01,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2010-03-12,2010-03-12,100100697,34.0499,-118.2614,7TH,0344 1402,101,0151,1520,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}"
66,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-13,2010-03-13,100100706,34.0452,-118.2534,7TH                          ST,0400 2000,102,0153,1615,"{'0400': 'Force used', '2000': 'Domestic violence'}"
67,90014,los angeles,01,Central,220,ATTEMPTED ROBBERY,2010-03-14,2010-03-14,100100708,34.0407,-118.2468,SAN PEDRO                    ST,0337 0400 0411 0432 0906,102,0166,0800,"{'0337': 'Demands money', '0400': 'Force used', '0411': 'Cut/stabbed', '0432': 'Intimidation', '0906': 'Gangs'}"
68,90071,los angeles,01,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2010-03-12,2010-03-14,100100711,34.0502,-118.2540,600 W  5TH                          ST,0432,725,0152,1700,{'0432': 'Intimidation'}
69,90013,los angeles,01,Central,761,BRANDISH WEAPON,2010-03-14,2010-03-14,100100713,34.0442,-118.2439,500 S  SAN PEDRO                    ST,0334,710,0156,2000,{'0334': 'Brandishes weapon'}
