Zipcode,City,Area ID,Area Name,Crime Code,Crime Code Description,Date Occurred,Date Reported,DR #,Latitude,Longitude,Location,MO Code,Premise Code,Reporting District,Time Occurred,mo_descriptions,count_of_crime,charge_of_violations
90015,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-02-28,2010-03-01,100100657,34.0389,-118.2643,1300 S  GRAND                        AV,0400 2000,502,0192,2200,"{'0400': 'Force used', '2000': 'Domestic violence'}",2,2
90017,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-03-01,2010-03-01,100100658,34.0459,-118.2579,800 S  GRAND                        AV,0329,203,0162,0305,{'0329': 'Vandalized'},1,1
90015,los angeles,01,Central,210,ROBBERY,2010-08-01,2010-08-01,100114820,34.0384,-118.2646,GRAND,0344 0355 0400,101,0192,0250,"{'0344': 'Removes vict property', '0355': 'Demanded property other than money', '0400': 'Force used'}",3,3
90013,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-02-28,2010-02-28,100100659,34.0485,-118.2447,300 S  LOS ANGELES                  ST,0200 0400,725,0138,1825,"{'0200': 'Suspect wore disguise', '0400': 'Force used'}",2,2
90013,los angeles,01,Central,648,ARSON,2010-03-01,2010-03-01,100100660,34.0435,-118.2427,5TH,1501,101,0148,0100,{'1501': 'Other MO (see rpt)'},1,1
90071,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-03-01,2010-03-01,100100661,34.0503,-118.2504,400 S  HILL                         ST,0329,203,0143,0410,{'0329': 'Vandalized'},1,1
90071,los angeles,01,Central,121,"RAPE, FORCIBLE",2010-03-06,2010-03-06,100100672,34.0535,-118.2560,400 S  FIGUEROA                     ST,0413 0500 0536 0526,503,0142,0420,"{'0413': 'Drugged', '0500': 'Sex related acts', '0536': 'Suspect removes own clothing', '0526': 'Utilized Condom'}",4,4
90012,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-03-06,2010-03-07,100100676,34.0695,-118.2324,1300 N  BROADWAY,0329,502,0105,1930,{'0329': 'Vandalized'},1,1
90015,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-03-11,2010-03-11,100100690,34.0416,-118.2620,1100 S  GRAND                        AV,0329,122,0182,2300,{'0329': 'Vandalized'},1,1
90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-11,2010-03-11,100100691,34.0446,-118.2490,600 S  LOS ANGELES                  ST,0416 1402,102,0165,2110,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}",2,2
