house_price,zip_code,house_address,beds,baths,house_link
699000,90057,"422 S Benton Way, Los Angeles, CA 90057",2,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Los-Angeles/422-S-Benton-Way-90057/home/6935216
798000,90601,"6348 Pickering Ave, Whittier, CA 90601",6,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Whittier/6348-Pickering-Ave-90601/home/7810576
695000,91352,"8327 Valecrest Dr, Sun Valley, CA 91352",3,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Sun-Valley/8327-Valecrest-Dr-91352/home/5270529
1849000,90045,"6372 W 82nd St, Los Angeles, CA 90045",5,4,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Los-Angeles/6372-W-82nd-St-90045/home/6611959
425000,90278,"2001 Artesia Blvd #202, Redondo Beach, CA 90278",1,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Redondo-Beach/2001-Artesia-Blvd-90278/unit-202/home/21918160
399000,91722,"675 N Lark Ellen Ave, Covina, CA 91722",2,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Covina/675-N-Lark-Ellen-Ave-91722/home/7930415
612000,90005,"620 S Gramercy Pl #302, Los Angeles, CA 90005",2,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Los-Angeles/620-S-Gramercy-Pl-90005/unit-302/home/8145750
799999,91344,"11432 Gerald Ave, Granada Hills, CA 91344",4,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Granada-Hills/11432-Gerald-Ave-91344/home/5732440
1999000,90275,"31010 Hawksmoor Dr, Rancho Palos Verdes, CA 90275",4,4,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Rancho-Palos-Verdes/31010-Hawksmoor-Dr-90275/home/7734056
724900,90065,"3801 Eagle Rock Blvd #3, Los Angeles, CA 90065",4,4,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Los-Angeles/3801-Eagle-Rock-Blvd-90065/unit-3/home/110090244
4195000,91011,"837 Greenridge Dr, La Canada Flintridge, CA 91011",5,4.5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/La-Canada-Flintridge/837-Greenridge-Dr-91011/home/7249019
2800000,91754,"1585 Sombrero Dr, Monterey Park, CA 91754",0,—Baths,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Monterey-Park/1585-Sombrero-Dr-91754/home/6970379
1420000,91302,"4538 Cielo Cir, Calabasas, CA 91302",4,3.5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Calabasas/4538-Cielo-Cir-91302/home/12286097
599000,91732,"3494 Whistler Ave, El Monte, CA 91732",4,2.5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/El-Monte/3494-Whistler-Ave-91732/home/7997323
339000,90057,"256 S La Fayette Park Pl #304, Los Angeles, CA 90057",1,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Los-Angeles/256-S-Lafayette-Park-Pl-90057/unit-304/home/12404687
859000,90017,"801 S Grand Ave #1702, Los Angeles, CA 90017",2,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Los-Angeles/801-S-Grand-Ave-90017/unit-1702/home/8179714
1680000,90230,"4709 Lindblade Dr, Culver City, CA 90230",4,4,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Culver-City/4709-Lindblade-Dr-90230/home/6730878
