ID,zip_code,mo_code,mo_description,charge_of_violations,date_occurred,date_reported,area_name,latitude,longitude
161,90012,0321 0344 1202 1402,"{'0321': 'Ransacked', '0344': 'Removes vict property', '1202': 'Aged (60 & over) or blind/crippled/unable to care for self', '1402': 'Evidence Booked (any crime)'}",4,5/10/10,5/10/10,Central,34.0673,-118.2354
162,90014,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,5/12/10,5/12/10,Central,34.0419,-118.2485
163,90014,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,5/12/10,5/12/10,Central,34.0419,-118.2485
164,90013,433,{'0433': 'Makes victim kneel'},1,5/13/10,5/14/10,Central,34.0442,-118.2439
165,90014,416,{'0416': 'Hit-Hit w/ weapon'},1,5/13/10,5/14/10,Central,34.0423,-118.2561
166,90014,416,{'0416': 'Hit-Hit w/ weapon'},1,5/13/10,5/14/10,Central,34.0423,-118.2452
167,90079,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,5/13/10,5/13/10,Central,34.0544,-118.2466
168,90014,0416 0417 0429 0907 1402,"{'0416': 'Hit-Hit w/ weapon', '0417': 'Kicked', '0429': 'Vict knocked to ground', '0907': 'Narcotics (Buy-Sell-Rip)', '1402': 'Evidence Booked (any crime)'}",5,5/13/10,5/14/10,Central,34.0388,-118.2574
169,90079,0416 0906,"{'0416': 'Hit-Hit w/ weapon', '0906': 'Gangs'}",2,5/16/10,5/16/10,Central,34.0482,-118.2472
170,90015,0416 1222 2000,"{'0416': 'Hit-Hit w/ weapon', '1222': 'Homosexual/Gay', '2000': 'Domestic violence'}",3,5/17/10,5/17/10,Central,34.0437,-118.2652
171,90014,0401 0400 0510 1820,"{'0401': 'Bit', '0400': 'Force used', '0510': 'Kissed victims body/face', '1820': 'Friend'}",4,5/16/10,5/19/10,Central,34.0423,-118.2452
172,90017,344,{'0344': 'Removes vict property'},1,5/19/10,5/20/10,Central,34.048,-118.2577
173,90071,,{'nan': 'Unknown code'},1,5/19/10,5/19/10,Central,34.0535,-118.256
174,90014,0329 1300 2004,"{'0329': 'Vandalized', '1300': 'Vehicle involved', '2004': 'Suspect is homeless/transient'}",3,5/19/10,5/19/10,Central,34.0446,-118.245
175,90014,,{'nan': 'Unknown code'},1,5/19/10,5/19/10,Central,34.0401,-118.2504
176,90015,,{'nan': 'Unknown code'},1,5/20/10,5/20/10,Central,34.0357,-118.2593
177,90079,9999,{'9999': 'Indistinctive MO'},1,5/21/10,5/22/10,Central,34.054,-118.2435
178,90012,0416 2000,"{'0416': 'Hit-Hit w/ weapon', '2000': 'Domestic violence'}",2,5/22/10,5/22/10,Central,34.0649,-118.2289
179,90071,0329 1609,"{'0329': 'Vandalized', '1609': 'Smashed'}",2,5/22/10,5/22/10,Central,34.0535,-118.256
180,90017,0416 1402,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}",2,5/23/10,5/24/10,Central,34.0462,-118.2628
181,90014,0411 1402,"{'0411': 'Cut/stabbed', '1402': 'Evidence Booked (any crime)'}",2,5/24/10,5/24/10,Central,34.0461,-118.2476
182,90014,0408 0400 0416,"{'0408': 'Choked/uses choke hold/Strangulation/Suffocation', '0400': 'Force used', '0416': 'Hit-Hit w/ weapon'}",3,5/24/10,5/24/10,Central,34.0453,-118.2499
183,90012,0421 1402,"{'0421': 'Threaten to kill', '1402': 'Evidence Booked (any crime)'}",2,5/28/10,5/28/10,Central,34.0615,-118.2336
184,91201,0416 1402,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}",2,5/30/10,5/30/10,Central,34.1779,-118.2962
185,90012,329,{'0329': 'Vandalized'},1,5/30/10,5/30/10,Central,34.0571,-118.2422
186,91201,416,{'0416': 'Hit-Hit w/ weapon'},1,5/30/10,5/30/10,Central,34.1779,-118.2962
187,90014,0416 1402,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}",2,5/29/10,5/29/10,Central,34.0398,-118.2413
188,90014,416,{'0416': 'Hit-Hit w/ weapon'},1,5/30/10,5/30/10,Central,34.0419,-118.2485
189,90013,0416 1310,"{'0416': 'Hit-Hit w/ weapon', '1310': 'Victim in vehicle'}",2,5/31/10,5/31/10,Central,34.0478,-118.2454
190,90015,0416 0429,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}",2,5/31/10,5/31/10,Central,34.0401,-118.2668
191,90014,0400 0401 0416,"{'0400': 'Force used', '0401': 'Bit', '0416': 'Hit-Hit w/ weapon'}",3,5/31/10,5/31/10,Central,34.0461,-118.2476
192,90017,0325 0416 1402,"{'0325': 'Took merchandise', '0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}",3,5/31/10,5/31/10,Central,34.048,-118.2577
193,90017,0344 0370 0400 0429,"{'0344': 'Removes vict property', '0370': 'Frisks victim/pats down victim/searches victim', '0400': 'Force used', '0429': 'Vict knocked to ground'}",4,5/31/10,6/1/10,Central,34.0473,-118.2566
194,90013,0337 0344 0400,"{'0337': 'Demands money', '0344': 'Removes vict property', '0400': 'Force used'}",3,6/1/10,6/1/10,Central,34.049,-118.2381
195,90015,0416 1402,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}",2,6/1/10,6/1/10,Central,34.0333,-118.262
196,90012,0344 1609,"{'0344': 'Removes vict property', '1609': 'Smashed'}",2,5/31/10,5/31/10,Central,34.0598,-118.2477
197,90014,0400 0416 0429 1402,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground', '1402': 'Evidence Booked (any crime)'}",4,6/2/10,6/2/10,Central,34.0435,-118.2471
198,90013,416,{'0416': 'Hit-Hit w/ weapon'},1,6/3/10,6/4/10,Central,34.0442,-118.2439
199,90012,0400 0416 2000,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon', '2000': 'Domestic violence'}",3,6/4/10,6/4/10,Central,34.0668,-118.2301
200,90012,0360 0416 0602 1202,"{'0360': 'Suspect is Other Family Member', '0416': 'Hit-Hit w/ weapon', '0602': 'Family', '1202': 'Aged (60 & over) or blind/crippled/unable to care for self'}",4,6/4/10,6/4/10,Central,34.0652,-118.2468
201,90014,0416 2000,"{'0416': 'Hit-Hit w/ weapon', '2000': 'Domestic violence'}",2,6/4/10,6/4/10,Central,34.0481,-118.2542
202,90017,0344 1606,"{'0344': 'Removes vict property', '1606': 'Open/unlocked'}",2,5/15/10,6/5/10,Central,34.0444,-118.2628
203,90017,0344 1606,"{'0344': 'Removes vict property', '1606': 'Open/unlocked'}",2,5/12/10,6/5/10,Central,34.0444,-118.2628
