ID,zip_code,mo_code,mo_description,charge_of_violations,date_occurred,date_reported,area_name,latitude,longitude
116,90012,0337 0400,"{'0337': 'Demands money', '0400': 'Force used'}",2,2010-04-16,2010-04-16,Central,34.0619,-118.2369
117,90014,0344 0416,"{'0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon'}",2,2010-04-16,2010-04-16,Central,34.0435,-118.2471
118,90021,0416 0417 0429 2000,"{'0416': 'Hit-Hit w/ weapon', '0417': 'Kicked', '0429': 'Vict knocked to ground', '2000': 'Domestic violence'}",4,2010-04-15,2010-04-16,Central,34.0364,-118.2406
119,90079,0329 1402,"{'0329': 'Vandalized', '1402': 'Evidence Booked (any crime)'}",2,2010-04-17,2010-04-17,Central,34.0522,-118.2434
120,90013,0400 1402,"{'0400': 'Force used', '1402': 'Evidence Booked (any crime)'}",2,2010-04-17,2010-04-17,Central,34.0442,-118.2439
121,90012,0400 0421 0432 1402,"{'0400': 'Force used', '0421': 'Threaten to kill', '0432': 'Intimidation', '1402': 'Evidence Booked (any crime)'}",4,2010-04-17,2010-04-17,Central,34.0582,-118.2387
122,90021,0400 0416 0417,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon', '0417': 'Kicked'}",3,2010-04-17,2010-04-17,Central,34.0394,-118.2405
123,90014,0329,{'0329': 'Vandalized'},1,2010-04-18,2010-04-18,Central,34.0488,-118.2518
124,90012,0421 0432 1402,"{'0421': 'Threaten to kill', '0432': 'Intimidation', '1402': 'Evidence Booked (any crime)'}",3,2010-04-17,2010-04-17,Central,34.0582,-118.2387
125,90021,0400 0416 0417,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon', '0417': 'Kicked'}",3,2010-04-17,2010-04-17,Central,34.0394,-118.2405
126,90014,2000,{'2000': 'Domestic violence'},1,2010-04-20,2010-04-21,Central,34.0449,-118.2458
127,90014,2000,{'2000': 'Domestic violence'},1,2010-04-20,2010-04-21,Central,34.0449,-118.2458
128,90021,0400 1300,"{'0400': 'Force used', '1300': 'Vehicle involved'}",2,2010-04-21,2010-04-21,Central,34.0346,-118.2323
129,90017,0416 0417 0429,"{'0416': 'Hit-Hit w/ weapon', '0417': 'Kicked', '0429': 'Vict knocked to ground'}",3,2010-04-24,2010-04-24,Central,34.0494,-118.2581
130,90012,0416 0417,"{'0416': 'Hit-Hit w/ weapon', '0417': 'Kicked'}",2,2010-04-23,2010-04-24,Central,34.0656,-118.2374
131,90014,0411,{'0411': 'Cut/stabbed'},1,2010-04-24,2010-04-25,Central,34.0423,-118.2452
132,90014,0400 0416 2000,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon', '2000': 'Domestic violence'}",3,2010-04-24,2010-04-24,Central,34.0460,-118.2509
133,90014,0411,{'0411': 'Cut/stabbed'},1,2010-04-24,2010-04-24,Central,34.0423,-118.2452
134,90079,0344,{'0344': 'Removes vict property'},1,2010-04-25,2010-04-25,Central,34.0537,-118.2455
135,90017,0325,{'0325': 'Took merchandise'},1,2010-04-25,2010-04-26,Central,34.0480,-118.2577
136,90014,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-04-26,2010-04-26,Central,34.0460,-118.2509
137,90015,0416 0907 1402 2000,"{'0416': 'Hit-Hit w/ weapon', '0907': 'Narcotics (Buy-Sell-Rip)', '1402': 'Evidence Booked (any crime)', '2000': 'Domestic violence'}",4,2010-04-26,2010-04-27,Central,34.0320,-118.2657
138,90014,1501,{'1501': 'Other MO (see rpt)'},1,2010-10-26,2010-10-26,Central,34.0446,-118.2490
139,90079,0329,{'0329': 'Vandalized'},1,2010-04-28,2010-04-28,Central,34.0503,-118.2470
140,90014,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-04-29,2010-04-30,Central,34.0420,-118.2468
141,90033,0329,{'0329': 'Vandalized'},1,2010-04-29,2010-04-30,Hollenbeck,34.0486,-118.2192
142,90014,0311 0329 1402,"{'0311': 'Graffiti', '0329': 'Vandalized', '1402': 'Evidence Booked (any crime)'}",3,2010-04-30,2010-04-30,Central,34.0411,-118.2545
143,90017,0400,{'0400': 'Force used'},1,2010-05-01,2010-05-01,Central,34.0494,-118.2599
144,90014,0400,{'0400': 'Force used'},1,2010-05-02,2010-05-02,Central,34.0481,-118.2507
145,90079,,{'nan': 'Unknown code'},1,2010-05-03,2010-05-03,Central,34.0510,-118.2445
146,90014,0334 0411 0906,"{'0334': 'Brandishes weapon', '0411': 'Cut/stabbed', '0906': 'Gangs'}",3,2010-05-03,2010-05-03,Central,34.0423,-118.2595
147,90079,0404,"{'0404': 'Bomb Threat, no bomb'}",1,2010-05-03,2010-05-03,Central,34.0540,-118.2435
148,90021,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-05-05,2010-05-05,Central,34.0377,-118.2425
149,90015,0344,{'0344': 'Removes vict property'},1,2010-05-05,2010-05-05,Central,34.0416,-118.2620
150,90017,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,2010-05-05,2010-05-05,Central,34.0480,-118.2577
151,90031,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-05-06,2010-05-06,Central,34.0721,-118.2213
152,90014,0337 0344 0416,"{'0337': 'Demands money', '0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon'}",3,2010-05-06,2010-05-06,Central,34.0467,-118.2520
153,90014,0416 0411,"{'0416': 'Hit-Hit w/ weapon', '0411': 'Cut/stabbed'}",2,2010-05-06,2010-05-07,Central,34.0398,-118.2413
154,90013,1402,{'1402': 'Evidence Booked (any crime)'},1,2010-05-06,2010-05-06,Central,34.0537,-118.2379
155,90014,0344 0400,"{'0344': 'Removes vict property', '0400': 'Force used'}",2,2010-05-06,2010-05-06,Central,34.0428,-118.2461
156,90015,0329,{'0329': 'Vandalized'},1,2010-05-07,2010-05-07,Central,34.0308,-118.2602
157,90079,0400 0418,"{'0400': 'Force used', '0418': 'Kidnapped'}",2,2010-05-07,2010-05-10,Central,34.0495,-118.2494
158,90079,1501,{'1501': 'Other MO (see rpt)'},1,2010-05-08,2010-05-08,Central,34.0489,-118.2453
159,90021,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-05-09,2010-05-10,Central,34.0382,-118.2384
160,90014,0329,{'0329': 'Vandalized'},1,2010-05-10,2010-05-10,Central,34.0474,-118.2496
161,90012,0321 0344 1202 1402,"{'0321': 'Ransacked', '0344': 'Removes vict property', '1202': 'Aged (60 & over) or blind/crippled/unable to care for self', '1402': 'Evidence Booked (any crime)'}",4,2010-05-10,2010-05-10,Central,34.0673,-118.2354
162,90014,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,2010-05-12,2010-05-12,Central,34.0419,-118.2485
163,90014,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,2010-05-12,2010-05-12,Central,34.0419,-118.2485
164,90013,0433,{'0433': 'Makes victim kneel'},1,2010-05-13,2010-05-14,Central,34.0442,-118.2439
165,90014,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-05-13,2010-05-14,Central,34.0423,-118.2561
166,90014,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-05-13,2010-05-14,Central,34.0423,-118.2452
167,90079,0344 1402,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,2010-05-13,2010-05-13,Central,34.0544,-118.2466
168,90014,0416 0417 0429 0907 1402,"{'0416': 'Hit-Hit w/ weapon', '0417': 'Kicked', '0429': 'Vict knocked to ground', '0907': 'Narcotics (Buy-Sell-Rip)', '1402': 'Evidence Booked (any crime)'}",5,2010-05-13,2010-05-14,Central,34.0388,-118.2574
169,90079,0416 0906,"{'0416': 'Hit-Hit w/ weapon', '0906': 'Gangs'}",2,2010-05-16,2010-05-16,Central,34.0482,-118.2472
170,90015,0416 1222 2000,"{'0416': 'Hit-Hit w/ weapon', '1222': 'Homosexual/Gay', '2000': 'Domestic violence'}",3,2010-05-17,2010-05-17,Central,34.0437,-118.2652
171,90014,0401 0400 0510 1820,"{'0401': 'Bit', '0400': 'Force used', '0510': 'Kissed victims body/face', '1820': 'Friend'}",4,2010-05-16,2010-05-19,Central,34.0423,-118.2452
172,90017,0344,{'0344': 'Removes vict property'},1,2010-05-19,2010-05-20,Central,34.0480,-118.2577
173,90071,,{'nan': 'Unknown code'},1,2010-05-19,2010-05-19,Central,34.0535,-118.2560
174,90014,0329 1300 2004,"{'0329': 'Vandalized', '1300': 'Vehicle involved', '2004': 'Suspect is homeless/transient'}",3,2010-05-19,2010-05-19,Central,34.0446,-118.2450
175,90014,,{'nan': 'Unknown code'},1,2010-05-19,2010-05-19,Central,34.0401,-118.2504
176,90015,,{'nan': 'Unknown code'},1,2010-05-20,2010-05-20,Central,34.0357,-118.2593
177,90079,9999,{'9999': 'Indistinctive MO'},1,2010-05-21,2010-05-22,Central,34.0540,-118.2435
178,90012,0416 2000,"{'0416': 'Hit-Hit w/ weapon', '2000': 'Domestic violence'}",2,2010-05-22,2010-05-22,Central,34.0649,-118.2289
179,90071,0329 1609,"{'0329': 'Vandalized', '1609': 'Smashed'}",2,2010-05-22,2010-05-22,Central,34.0535,-118.2560
180,90017,0416 1402,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}",2,2010-05-23,2010-05-24,Central,34.0462,-118.2628
181,90014,0411 1402,"{'0411': 'Cut/stabbed', '1402': 'Evidence Booked (any crime)'}",2,2010-05-24,2010-05-24,Central,34.0461,-118.2476
182,90014,0408 0400 0416,"{'0408': 'Choked/uses choke hold/Strangulation/Suffocation', '0400': 'Force used', '0416': 'Hit-Hit w/ weapon'}",3,2010-05-24,2010-05-24,Central,34.0453,-118.2499
183,90012,0421 1402,"{'0421': 'Threaten to kill', '1402': 'Evidence Booked (any crime)'}",2,2010-05-28,2010-05-28,Central,34.0615,-118.2336
184,91201,0416 1402,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}",2,2010-05-30,2010-05-30,Central,34.1779,-118.2962
185,90012,0329,{'0329': 'Vandalized'},1,2010-05-30,2010-05-30,Central,34.0571,-118.2422
186,91201,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-05-30,2010-05-30,Central,34.1779,-118.2962
187,90014,0416 1402,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}",2,2010-05-29,2010-05-29,Central,34.0398,-118.2413
188,90014,0416,{'0416': 'Hit-Hit w/ weapon'},1,2010-05-30,2010-05-30,Central,34.0419,-118.2485
189,90013,0416 1310,"{'0416': 'Hit-Hit w/ weapon', '1310': 'Victim in vehicle'}",2,2010-05-31,2010-05-31,Central,34.0478,-118.2454
190,90015,0416 0429,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}",2,2010-05-31,2010-05-31,Central,34.0401,-118.2668
191,90014,0400 0401 0416,"{'0400': 'Force used', '0401': 'Bit', '0416': 'Hit-Hit w/ weapon'}",3,2010-05-31,2010-05-31,Central,34.0461,-118.2476
192,90017,0325 0416 1402,"{'0325': 'Took merchandise', '0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}",3,2010-05-31,2010-05-31,Central,34.0480,-118.2577
193,90017,0344 0370 0400 0429,"{'0344': 'Removes vict property', '0370': 'Frisks victim/pats down victim/searches victim', '0400': 'Force used', '0429': 'Vict knocked to ground'}",4,2010-05-31,2010-06-01,Central,34.0473,-118.2566
194,90013,0337 0344 0400,"{'0337': 'Demands money', '0344': 'Removes vict property', '0400': 'Force used'}",3,2010-06-01,2010-06-01,Central,34.0490,-118.2381
195,90015,0416 1402,"{'0416': 'Hit-Hit w/ weapon', '1402': 'Evidence Booked (any crime)'}",2,2010-06-01,2010-06-01,Central,34.0333,-118.2620
196,90012,0344 1609,"{'0344': 'Removes vict property', '1609': 'Smashed'}",2,2010-05-31,2010-05-31,Central,34.0598,-118.2477
197,90014,0400 0416 0429 1402,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground', '1402': 'Evidence Booked (any crime)'}",4,2010-06-02,2010-06-02,Central,34.0435,-118.2471
